UID,Time,totalVal
1031421740,2020/3/7,7
1031421740,2020/3/8,7
1031421740,2020/3/9,7
1031421740,2020/3/10,7
1031421740,2020/3/11,7
1031421740,2020/3/12,7
1031421740,2020/3/13,7
1031421740,2020/3/14,7
1031421740,2020/3/15,7
1031421740,2020/3/16,7
1031421740,2020/3/17,7
1031421740,2020/3/18,7
1031421740,2020/3/19,7
1031421740,2020/3/20,7
1031421740,2020/3/21,7
1031421740,2020/3/22,7
1031421740,2020/3/23,7
1031421740,2020/3/24,7
1031421740,2020/3/25,7
1031421740,2020/3/26,7
1031421740,2020/3/27,7
1031421740,2020/3/28,7
1031421740,2020/3/29,7
1031421740,2020/3/30,7
1031421740,2020/3/31,7
1033085346,2020/1/22,659
1033085346,2020/1/23,1019
1033085346,2020/1/24,1259
1033085346,2020/1/25,1267
1033085346,2020/1/26,1273
1033085346,2020/1/27,1274
1033085346,2020/1/28,1278
1033085346,2020/1/29,1278
1033085346,2020/1/30,1279
1033085346,2020/1/31,1299
1033085346,2020/2/1,1417
1033085346,2020/2/2,1425
1033085346,2020/2/3,1425
1033085346,2020/2/4,1434
1033085346,2020/2/5,1434
1033085346,2020/2/6,1450
1033085346,2020/2/7,1450
1033085346,2020/2/8,1450
1033085346,2020/2/9,1451
1033085346,2020/2/10,1457
1033085346,2020/2/11,1457
1033085346,2020/2/12,1457
1033085346,2020/2/13,1457
1033085346,2020/2/14,1457
1033085346,2020/2/15,1457
1033085346,2020/2/16,1457
1033085346,2020/2/17,1457
1033085346,2020/2/18,1457
1033085346,2020/2/19,1457
1033085346,2020/2/20,1471
1033085346,2020/2/21,1471
1033085346,2020/2/22,1472
1033085346,2020/2/23,1484
1033085346,2020/2/24,1485
1033085346,2020/2/25,1491
1033085346,2020/2/26,1496
1033085346,2020/2/27,1496
1033085346,2020/2/28,1496
1033085346,2020/2/29,1496
1033085346,2020/3/1,1496
1033085346,2020/3/2,1497
1033085346,2020/3/3,1500
1033085346,2020/3/4,1500
1033085346,2020/3/5,1500
1033085346,2020/3/6,1500
1033085346,2020/3/7,1500
1033085346,2020/3/8,1500
1033085346,2020/3/9,1500
1033085346,2020/3/10,1500
1033085346,2020/3/11,1500
1033085346,2020/3/12,1500
1033085346,2020/3/13,1500
1033085346,2020/3/14,1500
1033085346,2020/3/15,1500
1033085346,2020/3/16,1500
1033085346,2020/3/17,1500
1033085346,2020/3/18,1500
1033085346,2020/3/19,1500
1033085346,2020/3/20,1500
